gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,Team,Season,OPS,OPS_Index,wRC+,wRC+_Source,OPS_vs_L,OBP_vs_L,SLG_vs_L,AVG_vs_L,PA_vs_L,OPS_vs_R,OBP_vs_R,SLG_vs_R,AVG_vs_R,PA_vs_R
162,1349,1479,743,271,19,199,1349,545,17,1284,98,.238,5395,.317,.406,.723,20,88,.815,.185,99,23968,6104,2190,698,1084,17,49,.278,0.91,0,27.11,OAK,2021,0.723,72.3,72.3,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.725,0.315,0.41,0.239,2030.0,0.721,0.317,0.404,0.237,4074.0
162,1450,1365,609,240,35,124,1328,529,24,1261,49,.236,5336,.309,.364,.673,30,60,.667,.333,102,22993,5983,1943,570,1128,31,37,.290,1.06,1,43.03,PIT,2021,0.673,67.30000000000001,67.30000000000001,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.66,0.303,0.357,0.236,1745.0,0.678,0.311,0.367,0.236,4238.0
162,1482,1355,729,273,21,180,1324,586,42,1305,61,.242,5384,.321,.401,.722,39,110,.738,.262,121,23760,6119,2160,695,1123,36,46,.287,1.09,6,29.91,SD,2021,0.722,72.2,72.2,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.704,0.324,0.38,0.241,1658.0,0.729,0.32,0.409,0.243,4461.0
162,1262,1437,697,233,11,199,1492,535,8,1209,72,.226,5355,.303,.385,.688,24,64,.727,.273,92,24050,6010,2061,673,1040,9,36,.273,0.88,3,26.91,SEA,2021,0.688,68.8,68.8,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.695,0.301,0.394,0.231,2147.0,0.684,0.304,0.38,0.223,3863.0
162,1304,1403,804,271,25,241,1461,602,45,1360,64,.249,5462,.329,.440,.769,14,66,.825,.175,117,24617,6196,2404,768,1138,36,30,.295,0.93,2,22.66,SF,2021,0.769,76.9,76.9,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.752,0.331,0.421,0.247,1690.0,0.775,0.328,0.447,0.25,4506.0
162,1303,1487,706,261,22,198,1341,478,32,1303,86,.244,5351,.313,.412,.725,22,89,.802,.198,99,23222,6001,2202,678,1081,40,44,.287,0.88,2,27.02,STL,2021,0.725,72.5,72.5,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.798,0.325,0.473,0.256,1245.0,0.706,0.31,0.396,0.24,4756.0
162,1270,1406,857,288,36,222,1542,585,27,1336,72,.243,5507,.321,.429,.750,42,88,.677,.323,75,24326,6213,2362,810,1085,6,41,.294,0.90,2,24.81,TB,2021,0.75,75.0,75.0,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.743,0.322,0.421,0.247,2206.0,0.754,0.321,0.433,0.24,4007.0
162,1463,1354,625,225,24,167,1381,433,10,1254,58,.232,5405,.294,.375,.669,29,106,.785,.215,113,22926,5943,2028,598,1007,16,31,.280,1.08,0,32.36,TEX,2021,0.669,66.9,66.9,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.652,0.289,0.363,0.233,1912.0,0.678,0.297,0.381,0.232,4031.0
162,1317,1531,846,285,13,262,1218,496,14,1455,51,.266,5476,.330,.466,.796,20,81,.802,.198,112,23254,6070,2552,816,1056,10,35,.296,0.86,2,20.90,TOR,2021,0.796,79.60000000000001,79.60000000000001,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.806,0.339,0.467,0.27,1587.0,0.794,0.328,0.466,0.264,4483.0
162,1364,1400,729,271,17,228,1405,525,17,1311,70,.241,5431,.314,.423,.737,15,54,.783,.217,122,23514,6078,2300,690,1092,7,42,.282,0.97,3,23.82,MIN,2021,0.737,73.7,73.7,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.724,0.31,0.414,0.244,1965.0,0.744,0.316,0.428,0.24,4113.0
162,1426,1340,734,262,24,198,1402,564,37,1288,67,.240,5366,.318,.408,.726,19,77,.802,.198,103,23823,6089,2192,700,1115,47,43,.286,1.06,2,27.10,PHI,2021,0.726,72.6,72.6,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.733,0.323,0.41,0.246,1933.0,0.723,0.315,0.408,0.237,4156.0
161,1277,1400,790,269,20,239,1453,549,36,1307,67,.244,5363,.319,.435,.754,19,59,.756,.244,81,23528,6056,2333,762,1072,32,43,.288,0.91,2,22.44,ATL,2021,0.754,75.4,75.4,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.732,0.314,0.418,0.239,1461.0,0.761,0.321,0.44,0.245,4595.0
162,1413,1245,796,275,22,190,1389,586,10,1373,78,.256,5357,.336,.422,.758,20,57,.740,.260,139,23930,6084,2262,757,1125,24,39,.310,1.13,0,28.20,CWS,2021,0.758,75.8,75.8,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.775,0.337,0.438,0.261,1574.0,0.753,0.336,0.417,0.255,4510.0
162,1344,1268,623,226,23,158,1553,450,25,1244,65,.233,5348,.298,.372,.670,29,106,.785,.215,95,23267,5929,1990,594,1042,30,30,.296,1.06,5,33.85,MIA,2021,0.67,67.0,67.0,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.655,0.293,0.362,0.227,1696.0,0.677,0.301,0.376,0.235,4233.0
162,1319,1308,711,213,12,222,1482,621,14,1266,63,.237,5331,.322,.407,.729,18,63,.778,.222,154,24804,6060,2169,666,1097,10,34,.285,1.01,1,24.01,NYY,2021,0.729,72.89999999999999,72.89999999999999,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.759,0.337,0.422,0.255,1900.0,0.716,0.316,0.4,0.23,4160.0
162,1352,1354,738,255,18,194,1465,586,26,1251,88,.233,5362,.317,.396,.713,21,82,.796,.204,102,24078,6099,2124,700,1113,25,35,.283,1.00,3,27.64,MIL,2021,0.713,71.3,71.3,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.704,0.315,0.389,0.23,1539.0,0.717,0.318,0.399,0.234,4560.0
162,1365,1402,723,265,23,190,1394,464,35,1331,59,.245,5437,.310,.407,.717,26,79,.752,.248,107,23027,6016,2212,691,1029,30,25,.294,0.97,1,28.62,LAA,2021,0.717,71.7,71.7,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.738,0.316,0.422,0.248,1934.0,0.707,0.307,0.4,0.243,4082.0
162,1356,1431,679,308,31,144,1465,537,24,1297,54,.236,5489,.309,.382,.691,16,43,.729,.271,99,24204,6144,2099,644,1152,32,28,.295,0.95,4,38.12,AZ,2021,0.691,69.1,69.1,LEGACY_OPS_X100_NOT_REAL_WRCPLUS,0.741,0.327,0.414,0.253,1786.0,0.672,0.302,0.37,0.23,4358.0
