Team,ERA,IP,Relievers,Season,Source
OAK,5.937,309.3,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
ATL,3.591,338.3,16,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
AZ,3.957,425.3,17,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
BAL,3.895,420.7,16,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
BOS,3.553,332.0,13,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
CHC,4.051,344.3,21,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
CIN,4.468,431.0,17,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
CLE,3.735,431.3,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
COL,4.758,238.3,16,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
CWS,4.19,204.0,10,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
DET,4.25,250.0,11,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
HOU,3.853,317.7,13,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
KC,5.532,299.3,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
LAA,4.1,417.0,21,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
LAD,4.452,242.7,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
MIA,3.775,250.3,11,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
MIL,3.568,285.0,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
MIN,5.063,373.3,21,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
NYM,3.125,288.0,18,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
NYY,3.11,341.3,10,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
PHI,4.023,326.7,16,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
PIT,4.627,336.7,19,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
SD,3.04,322.7,10,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
SEA,4.057,390.3,14,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
SF,4.328,339.0,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
STL,4.206,426.0,16,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
TB,3.566,300.3,15,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
TEX,5.095,229.7,16,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
TOR,3.743,336.7,21,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
WSH,5.267,312.7,19,2026,RELIEVER_ZERO_STARTS_IP_WEIGHTED_PROXY
