GameID,Date,Season,Away,Home,Away_Score,Home_Score,Innings,Venue
607243,2020-02-21,2020,Northeastern Huskies,Boston Red Sox,0,3,7,JetBlue Park
607244,2020-02-21,2020,Southeastern Fire,Detroit Tigers,4,5,9,Publix Field at Joker Marchant Stadium
611068,2020-02-21,2020,Texas Rangers,Kansas City Royals,5,4,9,Surprise Stadium
607184,2020-02-21,2020,Minnesota Golden Gophers,Minnesota Twins,0,16,7,CenturyLink Sports Complex
606181,2020-02-22,2020,New York Mets,St. Louis Cardinals,0,2,9,Roger Dean Chevrolet Stadium
604055,2020-02-22,2020,Tampa Bay Rays,Boston Red Sox,3,4,9,JetBlue Park
605795,2020-02-22,2020,Minnesota Twins,Pittsburgh Pirates,2,1,9,LECOM Park
604634,2020-02-22,2020,Philadelphia Phillies,Detroit Tigers,8,8,9,Publix Field at Joker Marchant Stadium
603860,2020-02-22,2020,Baltimore Orioles,Atlanta Braves,0,5,9,CoolToday Park
605503,2020-02-22,2020,Toronto Blue Jays,New York Yankees,2,1,9,George M. Steinbrenner Field
605406,2020-02-22,2020,Miami Marlins,New York Mets,5,3,9,Clover Park
605988,2020-02-22,2020,Los Angeles Dodgers,San Francisco Giants,10,4,9,Scottsdale Stadium
604153,2020-02-22,2020,Oakland Athletics,Chicago Cubs,2,12,9,Sloan Park
603958,2020-02-23,2020,Boston Red Sox,Baltimore Orioles,5,11,9,Ed Smith Stadium
606568,2020-02-23,2020,Houston Astros,Washington Nationals,1,2,9,FITTEAM Ballpark of the Palm Beaches
605796,2020-02-23,2020,Detroit Tigers,Pittsburgh Pirates,8,4,9,LECOM Park
605310,2020-02-23,2020,Toronto Blue Jays,Minnesota Twins,5,5,9,CenturyLink Sports Complex
605698,2020-02-23,2020,Pittsburgh Pirates,Philadelphia Phillies,3,4,9,Spectrum Field
603861,2020-02-23,2020,Detroit Tigers,Atlanta Braves,5,1,9,CoolToday Park
605117,2020-02-23,2020,Washington Nationals,Miami Marlins,2,5,9,Roger Dean Chevrolet Stadium
606277,2020-02-23,2020,New York Yankees,Tampa Bay Rays,7,9,9,Charlotte Sports Park
605407,2020-02-23,2020,St. Louis Cardinals,New York Mets,3,3,9,Clover Park
604830,2020-02-23,2020,Cleveland Indians,Kansas City Royals,9,5,9,Surprise Stadium
605021,2020-02-23,2020,Chicago Cubs,Los Angeles Dodgers,2,4,9,Camelback Ranch
605601,2020-02-23,2020,San Francisco Giants,Oakland Athletics,5,3,9,Hohokam Stadium
604346,2020-02-23,2020,Chicago White Sox,Cincinnati Reds,7,2,9,Goodyear Ballpark
605213,2020-02-23,2020,San Diego Padres,Milwaukee Brewers,7,2,9,American Family Fields of Phoenix
604926,2020-02-23,2020,Colorado Rockies,Los Angeles Angels,5,7,9,Tempe Diablo Stadium
603764,2020-02-23,2020,Oakland Athletics,Arizona Diamondbacks,3,7,9,Salt River Fields at Talking Stick
606085,2020-02-23,2020,Texas Rangers,Seattle Mariners,7,5,9,Peoria Stadium
604635,2020-02-24,2020,Houston Astros,Detroit Tigers,11,1,9,Publix Field at Joker Marchant Stadium
606569,2020-02-24,2020,New York Mets,Washington Nationals,2,1,9,FITTEAM Ballpark of the Palm Beaches
606278,2020-02-24,2020,Boston Red Sox,Tampa Bay Rays,2,2,9,Charlotte Sports Park
605311,2020-02-24,2020,Boston Red Sox,Minnesota Twins,2,3,9,CenturyLink Sports Complex
605699,2020-02-24,2020,Baltimore Orioles,Philadelphia Phillies,7,8,9,Spectrum Field
605118,2020-02-24,2020,St. Louis Cardinals,Miami Marlins,3,6,9,Roger Dean Chevrolet Stadium
606471,2020-02-24,2020,Atlanta Braves,Toronto Blue Jays,3,4,9,TD Ballpark
604831,2020-02-24,2020,San Diego Padres,Kansas City Royals,5,8,9,Surprise Stadium
605989,2020-02-24,2020,Arizona Diamondbacks,San Francisco Giants,9,11,9,Scottsdale Stadium
604347,2020-02-24,2020,Texas Rangers,Cincinnati Reds,6,9,9,Goodyear Ballpark
605022,2020-02-24,2020,Chicago White Sox,Los Angeles Dodgers,2,2,9,Camelback Ranch
605214,2020-02-24,2020,Los Angeles Angels,Milwaukee Brewers,1,2,9,American Family Fields of Phoenix
605602,2020-02-24,2020,Milwaukee Brewers,Oakland Athletics,14,4,9,Hohokam Stadium
604539,2020-02-24,2020,Cleveland Indians,Colorado Rockies,8,12,9,Salt River Fields at Talking Stick
606086,2020-02-24,2020,Chicago Cubs,Seattle Mariners,16,12,9,Peoria Stadium
605504,2020-02-24,2020,Pittsburgh Pirates,New York Yankees,3,3,9,George M. Steinbrenner Field
604056,2020-02-25,2020,Baltimore Orioles,Boston Red Sox,4,12,9,JetBlue Park
604636,2020-02-25,2020,New York Mets,Detroit Tigers,6,9,9,Publix Field at Joker Marchant Stadium
606182,2020-02-25,2020,Washington Nationals,St. Louis Cardinals,9,6,9,Roger Dean Chevrolet Stadium
603959,2020-02-25,2020,Tampa Bay Rays,Baltimore Orioles,15,2,9,Ed Smith Stadium
605797,2020-02-25,2020,Philadelphia Phillies,Pittsburgh Pirates,6,2,9,LECOM Park
605700,2020-02-25,2020,Toronto Blue Jays,Philadelphia Phillies,13,6,9,Spectrum Field
603862,2020-02-25,2020,Minnesota Twins,Atlanta Braves,4,4,9,CoolToday Park
604733,2020-02-25,2020,Miami Marlins,Houston Astros,7,4,9,FITTEAM Ballpark of the Palm Beaches
606472,2020-02-25,2020,New York Yankees,Toronto Blue Jays,4,1,9,TD Ballpark
604154,2020-02-25,2020,Colorado Rockies,Chicago Cubs,12,6,9,Sloan Park
606375,2020-02-25,2020,Kansas City Royals,Texas Rangers,5,4,9,Surprise Stadium
604443,2020-02-25,2020,Chicago White Sox,Cleveland Indians,2,10,9,Goodyear Ballpark
604251,2020-02-25,2020,San Francisco Giants,Chicago White Sox,3,4,9,Camelback Ranch
605215,2020-02-25,2020,Seattle Mariners,Milwaukee Brewers,2,1,9,American Family Fields of Phoenix
604927,2020-02-25,2020,Cincinnati Reds,Los Angeles Angels,3,7,9,Tempe Diablo Stadium
603765,2020-02-25,2020,Los Angeles Dodgers,Arizona Diamondbacks,3,7,9,Salt River Fields at Talking Stick
605893,2020-02-25,2020,Oakland Athletics,San Diego Padres,6,9,9,Peoria Stadium
605798,2020-02-26,2020,Boston Red Sox,Pittsburgh Pirates,6,3,8,LECOM Park
604734,2020-02-26,2020,St. Louis Cardinals,Houston Astros,7,5,9,FITTEAM Ballpark of the Palm Beaches
606279,2020-02-26,2020,Minnesota Twins,Tampa Bay Rays,10,8,9,Charlotte Sports Park
605312,2020-02-26,2020,Philadelphia Phillies,Minnesota Twins,5,4,9,CenturyLink Sports Complex
