gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,Team,Season,xFIP,ERA
162,162,1294,1566,687,247,18,191,1332,439,11,1362,64,.247,5508,.309,.403,.712,22,65,.747,.253,102,23102,4.02,1433.0,86,76,39,67,71,28,640,1.26,6060,4299,162,3,11,14996,.650,64,2,63,6,2218,0.83,.531,16.12,159,3.03,8.37,2.76,8.55,4.31,1.20,3,17,29,OAK,2021,4.02,4.02
162,162,1307,1436,833,298,32,213,1312,606,26,1400,78,.260,5379,.341,.446,.787,19,66,.776,.224,121,24045,5.08,1396.1,61,101,25,50,79,25,788,1.44,6140,4189,162,0,6,15177,.630,78,5,55,4,2401,0.91,.377,17.22,162,2.17,8.46,3.91,9.02,5.37,1.37,0,29,48,PIT,2021,5.08,5.08
162,162,1340,1318,708,273,21,205,1517,516,33,1277,87,.237,5380,.312,.410,.722,18,88,.830,.170,123,24196,4.10,1430.0,79,83,43,71,92,28,651,1.25,6056,4290,162,2,11,15489,.640,87,2,57,12,2207,1.02,.488,16.92,160,2.94,9.55,3.25,8.04,4.46,1.29,1,33,39,SD,2021,4.1,4.1
162,162,1321,1544,748,288,26,197,1328,485,23,1356,69,.247,5490,.314,.417,.731,17,91,.843,.157,120,23859,4.30,1440.1,90,72,51,84,100,33,688,1.28,6106,4321,162,1,10,15473,.650,69,3,58,8,2287,0.86,.556,16.56,161,2.74,8.30,3.03,8.47,4.67,1.23,3,17,42,SEA,2021,4.3,4.3
162,162,1477,1364,594,239,29,151,1425,416,20,1254,63,.230,5452,.291,.368,.659,20,53,.726,.274,106,22859,3.24,1455.0,107,55,56,85,114,29,524,1.15,6002,4365,162,2,18,15104,.660,63,7,44,12,2004,1.08,.660,15.71,160,3.43,8.81,2.57,7.76,3.67,0.93,3,36,32,SF,2021,3.24,3.24
162,162,1463,1431,672,252,17,152,1225,608,30,1234,85,.234,5281,.320,.374,.694,23,43,.652,.348,113,23419,3.98,1417.0,90,72,50,71,108,21,626,1.30,6046,4251,162,3,15,14559,.620,85,4,66,5,1976,1.02,.556,16.53,159,2.01,7.78,3.86,7.84,4.27,0.97,0,33,39,STL,2021,3.98,3.98
162,162,1296,1469,651,244,23,184,1478,436,27,1264,55,.232,5454,.294,.386,.680,22,69,.758,.242,110,23169,3.67,1455.2,100,62,42,64,93,22,593,1.17,5998,4367,162,1,13,15267,.660,55,6,64,9,2106,0.88,.617,15.92,161,3.39,9.14,2.70,7.81,4.02,1.14,0,19,34,TB,2021,3.67,3.67
162,162,1415,1470,815,249,19,232,1239,513,11,1402,61,.256,5468,.325,.436,.761,17,74,.813,.187,120,23586,4.79,1424.1,60,102,31,51,65,20,758,1.34,6103,4273,162,0,3,15115,.640,61,0,67,6,2385,0.96,.370,16.56,162,2.42,7.83,3.24,8.86,5.15,1.47,3,17,41,TEX,2021,4.79,4.79
162,162,1320,1323,663,248,19,209,1468,473,10,1257,75,.236,5337,.305,.407,.712,22,73,.768,.232,108,23549,3.91,1405.1,91,71,34,52,64,18,610,1.23,5916,4216,162,1,14,15043,.640,75,4,54,4,2170,1.00,.562,16.76,161,3.10,9.40,3.03,8.05,4.25,1.34,0,7,24,TOR,2021,3.91,3.91
162,162,1357,1465,834,301,22,239,1317,484,13,1392,62,.255,5460,.320,.449,.769,26,80,.755,.245,113,23714,4.83,1419.1,73,89,42,63,89,21,762,1.32,6080,4258,162,1,9,15336,.650,62,3,48,12,2454,0.93,.451,16.71,161,2.72,8.35,3.07,8.83,5.29,1.52,3,21,50,MIN,2021,4.83,4.83
162,162,1393,1277,745,265,28,200,1480,509,37,1321,75,.244,5418,.316,.414,.730,15,51,.773,.227,124,23739,4.39,1418.2,82,80,36,70,70,34,692,1.29,6055,4256,162,5,12,15330,.650,75,5,49,7,2242,1.09,.506,16.73,157,2.91,9.39,3.23,8.38,4.73,1.27,0,34,19,PHI,2021,4.39,4.39
161,161,1393,1313,656,243,21,183,1417,516,34,1237,66,.234,5279,.308,.392,.700,23,74,.763,.237,99,23228,3.88,1410.2,88,73,40,67,113,27,608,1.24,5944,4232,161,2,18,14912,.640,66,8,73,17,2071,1.06,.547,16.47,159,2.75,9.04,3.29,7.89,4.19,1.17,2,39,42,ATL,2021,3.88,3.88
