PlayerID,Name,Team,ERA,xFIP,xFIP_Source,FIP,SIERA,K-BB%,K%,BB%,WHIP,GS,G,IP,ReliefApps,ReliefShare,Season,PitchHand
641816,Tyler Mahle,ATL,1.52,1.52,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.01,4,4,23.666666666666668,0,0.0,2026,R
519242,Chris Sale,ATL,2.06,2.06,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.00,24,24,144.0,0,0.0,2026,L
800311,Didier Fuentes,ATL,2.43,2.43,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.11,1,48,59.333333333333336,47,0.9792,2026,R
527048,Martín Pérez,ATL,3.12,3.12,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.21,21,25,115.33333333333333,4,0.16,2026,L
625643,Reynaldo López,ATL,3.64,3.64,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.34,11,24,71.66666666666667,13,0.5417,2026,R
656550,Grant Holmes,ATL,3.71,3.71,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.34,25,26,128.66666666666666,1,0.0385,2026,R
693821,Bryce Elder,ATL,3.95,3.95,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.24,25,25,143.66666666666666,0,0.0,2026,R
702566,Owen Murphy,ATL,4.05,4.05,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.20,1,3,6.666666666666667,2,0.6667,2026,R
702275,JR Ritchie,ATL,4.5,4.5,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.43,8,14,58.0,6,0.4286,2026,R
675911,Spencer Strider,ATL,5.31,5.31,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.36,8,8,39.0,0,0.0,2026,R
700363,AJ Smith-Shawver,ATL,5.93,5.93,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.61,3,3,13.666666666666666,0,0.0,2026,R
660761,José Suarez,ATL,6.61,6.61,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.08,1,8,16.333333333333332,7,0.875,2026,L
664849,Danny Young,ATL,8.03,8.03,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.27,1,16,12.333333333333334,15,0.9375,2026,L
694462,Hurston Waldrep,ATL,8.44,8.44,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.16,2,3,10.666666666666666,1,0.3333,2026,R
593958,Eduardo Rodriguez,AZ,2.5,2.5,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.19,27,27,162.0,0,0.0,2026,L
647336,Michael Soroka,AZ,3.4,3.4,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.16,18,18,95.33333333333333,0,0.0,2026,R
694297,Brandon Pfaadt,AZ,3.51,3.51,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.14,14,24,105.0,10,0.4167,2026,R
683352,Mitch Bratt,AZ,4.54,4.54,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.56,9,9,39.666666666666664,0,0.0,2026,L
669194,Ryne Nelson,AZ,4.97,4.97,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.24,15,15,83.33333333333333,0,0.0,2026,R
703615,Jose Cabrera,AZ,5.32,5.32,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.41,5,5,22.0,0,0.0,2026,R
518876,Merrill Kelly,AZ,5.35,5.35,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.51,24,24,134.66666666666666,0,0.0,2026,R
668678,Zac Gallen,AZ,6.34,6.34,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.56,19,19,98.0,0,0.0,2026,R
684442,Kohl Drake,AZ,6.53,6.53,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.50,5,5,20.666666666666668,0,0.0,2026,L
621107,Zach Eflin,BAL,2.45,2.45,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.64,1,1,3.6666666666666665,0,0.0,2026,R
687064,Brandon Young,BAL,3.38,3.38,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.34,23,23,130.33333333333334,0,0.0,2026,R
680694,Kyle Bradish,BAL,4.03,4.03,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.41,26,26,143.0,0,0.0,2026,R
669358,Shane Baz,BAL,4.04,4.04,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.35,26,26,151.33333333333334,0,0.0,2026,R
669432,Trevor Rogers,BAL,4.38,4.38,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.25,25,25,137.66666666666666,0,0.0,2026,L
700249,Cade Povich,BAL,4.45,4.45,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.41,5,6,28.333333333333332,1,0.1667,2026,L
605135,Chris Bassitt,BAL,4.74,4.74,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.55,13,15,74.0,2,0.1333,2026,R
669211,Keegan Akin,BAL,5.68,5.68,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.50,2,24,25.333333333333332,22,0.9167,2026,L
665152,Dean Kremer,BAL,6.5,6.5,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.36,7,7,36.0,0,0.0,2026,R
694346,Trey Gibson,BAL,7.36,7.36,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.91,7,8,33.0,1,0.125,2026,R
669062,Erik Miller,BOS,0.0,0.0,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.97,1,10,10.333333333333334,9,0.9,2026,L
687941,Alec Gamboa,BOS,1.31,1.31,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.97,1,12,20.666666666666668,11,0.9167,2026,L
701719,Tyler Samaniego,BOS,2.66,2.66,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.48,1,20,20.333333333333332,19,0.95,2026,L
543243,Sonny Gray,BOS,2.82,2.82,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.18,25,25,143.66666666666666,0,0.0,2026,R
663558,Jovani Morán,BOS,2.89,2.89,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.07,3,41,56.0,38,0.9268,2026,L
801139,Payton Tolle,BOS,3.09,3.09,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.09,22,22,125.33333333333333,0,0.0,2026,L
624133,Ranger Suarez,BOS,3.35,3.35,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.20,23,23,118.33333333333333,0,0.0,2026,L
813349,Connelly Early,BOS,3.44,3.44,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.25,17,17,91.66666666666667,0,0.0,2026,L
687562,Jake Bennett,BOS,3.49,3.49,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.07,15,15,87.66666666666667,0,0.0,2026,L
663776,Patrick Sandoval,BOS,4.2,4.2,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.71,9,9,45.0,0,0.0,2026,L
678394,Brayan Bello,BOS,4.68,4.68,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.42,8,20,90.33333333333333,12,0.6,2026,R
700842,Eduardo Rivera,BOS,6.3,6.3,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.40,3,4,10.0,1,0.25,2026,L
676979,Garrett Crochet,BOS,6.3,6.3,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.47,6,6,30.0,0,0.0,2026,L
676962,Ben Brown,CHC,1.85,1.85,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.94,8,20,68.0,12,0.6,2026,R
605280,Clay Holmes,CHC,1.96,1.96,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.96,4,4,23.0,0,0.0,2026,R
702303,Riley Martin,CHC,2.16,2.16,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.84,1,8,8.333333333333334,7,0.875,2026,L
690990,Cade Horton,CHC,2.45,2.45,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.82,2,2,7.333333333333333,0,0.0,2026,R
669020,Ryan Rolison,CHC,2.82,2.82,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.25,2,47,51.0,45,0.9574,2026,L
665871,Javier Assad,CHC,3.46,3.46,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.10,10,22,83.33333333333333,12,0.5455,2026,R
684007,Shota Imanaga,CHC,3.78,3.78,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.12,26,26,145.33333333333334,0,0.0,2026,L
656849,David Peterson,CHC,3.9,3.9,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.36,10,11,55.333333333333336,1,0.0909,2026,L
571510,Matthew Boyd,CHC,3.99,3.99,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.22,17,17,97.0,0,0.0,2026,L
592332,Kevin Gausman,CHC,4.3,4.3,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.13,4,4,23.0,0,0.0,2026,R
607067,Colin Rea,CHC,4.55,4.55,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.36,19,26,124.66666666666667,7,0.2692,2026,R
665795,Edward Cabrera,CHC,5.68,5.68,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.45,15,15,76.0,0,0.0,2026,R
592791,Jameson Taillon,CHC,5.92,5.92,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.36,15,15,76.0,0,0.0,2026,R
696136,Jordan Wicks,CHC,10.45,10.45,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.94,2,4,10.333333333333334,2,0.5,2026,L
695505,Chase Burns,CIN,2.77,2.77,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.15,25,25,139.66666666666666,0,0.0,2026,R
592288,Kent Emanuel,CIN,3.6,3.6,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.60,1,1,5.0,0,0.0,2026,L
657571,Caleb Ferguson,CIN,4.01,4.01,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.50,1,26,24.666666666666668,25,0.9615,2026,L
671096,Andrew Abbott,CIN,4.15,4.15,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.40,27,27,145.33333333333334,0,0.0,2026,L
663903,Brady Singer,CIN,4.72,4.72,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.42,26,26,137.33333333333334,0,0.0,2026,R
695534,Chase Petty,CIN,4.83,4.83,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.26,3,16,31.666666666666668,13,0.8125,2026,R
695076,Rhett Lowder,CIN,5.14,5.14,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.46,21,24,112.0,3,0.125,2026,R
666157,Nick Lodolo,CIN,5.24,5.24,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.54,16,16,79.0,0,0.0,2026,L
663978,Chris Paddack,CIN,6.04,6.04,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.66,3,6,22.333333333333332,3,0.5,2026,R
682227,Brandon Williamson,CIN,6.11,6.11,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.64,6,6,28.0,0,0.0,2026,L
668881,Hunter Greene,CIN,6.83,6.83,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.37,5,5,27.666666666666668,0,0.0,2026,R
680689,Lyon Richardson,CIN,27.0,27.0,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.40,1,2,1.6666666666666665,1,0.5,2026,R
800048,Parker Messick,CLE,2.5,2.5,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.01,26,26,155.0,0,0.0,2026,L
671106,Logan Allen,CLE,2.92,2.92,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.46,1,5,12.333333333333334,4,0.8,2026,L
676282,Joey Cantillo,CLE,3.7,3.7,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.45,28,28,136.33333333333334,0,0.0,2026,L
676440,Tanner Bibee,CLE,3.88,3.88,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.16,28,28,162.33333333333334,0,0.0,2026,R
668909,Gavin Williams,CLE,3.98,3.98,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.12,27,27,156.0,0,0.0,2026,R
656492,Foster Griffin,CLE,4.05,4.05,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.45,4,4,20.0,0,0.0,2026,L
677944,Slade Cecconi,CLE,5.07,5.07,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.50,21,23,110.0,2,0.087,2026,R
690279,Mason Adams,COL,2.25,2.25,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.50,1,1,4.0,0,0.0,2026,R
657514,Brennan Bernardino,COL,2.67,2.67,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.17,2,62,54.0,60,0.9677,2026,L
801403,Chase Dollander,COL,3.89,3.89,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.30,3,10,44.0,7,0.7,2026,R
608372,Tomoyuki Sugano,COL,5.23,5.23,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.36,24,24,125.66666666666667,0,0.0,2026,R
500779,Jose Quintana,COL,5.27,5.27,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.51,9,9,41.0,0,0.0,2026,L
685299,Tanner Gordon,COL,5.38,5.38,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.43,7,19,83.66666666666667,12,0.6316,2026,R
675848,Juan Mejia,COL,5.56,5.56,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.68,1,53,56.666666666666664,52,0.9811,2026,R
688642,Zach Agnos,COL,5.68,5.68,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.43,2,34,76.0,32,0.9412,2026,R
663372,Ryan Feltner,COL,6.08,6.08,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.55,20,20,97.66666666666667,0,0.0,2026,R
623474,Jimmy Herget,COL,6.2,6.2,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.62,3,42,40.666666666666664,39,0.9286,2026,R
607536,Kyle Freeland,COL,6.37,6.37,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.46,23,23,124.33333333333333,0,0.0,2026,L
687312,Gabriel Hughes,COL,6.61,6.61,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.45,9,10,47.666666666666664,1,0.1,2026,R
547179,Michael Lorenzen,COL,7.08,7.08,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.88,25,26,115.66666666666667,1,0.0385,2026,R
807743,Sean Sullivan,COL,8.87,8.87,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.01,5,5,22.333333333333332,0,0.0,2026,L
671111,Sammy Peralta,COL,10.13,10.13,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.88,1,2,2.6666666666666665,1,0.5,2026,L
691799,Grant Taylor,CWS,2.03,2.03,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.03,4,52,71.0,48,0.9231,2026,R
656794,Sean Newcomb,CWS,2.28,2.28,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.08,4,49,75.0,45,0.9184,2026,L
663542,Bryan Hudson,CWS,3.21,3.21,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.25,7,58,56.0,51,0.8793,2026,L
680732,Sean Burke,CWS,3.32,3.32,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.15,23,27,149.0,4,0.1481,2026,R
663855,Jordan Hicks,CWS,3.83,3.83,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.53,1,43,40.0,42,0.9767,2026,R
641743,Anthony Kay,CWS,4.09,4.09,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.34,25,27,132.0,2,0.0741,2026,L
607200,Erick Fedde,CWS,4.18,4.18,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.39,12,28,118.33333333333333,16,0.5714,2026,R
669684,Chris Murphy,CWS,4.2,4.2,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.37,2,29,30.0,27,0.931,2026,L
663436,Davis Martin,CWS,4.32,4.32,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.33,24,24,125.0,0,0.0,2026,R
664353,José Urquidy,CWS,5.68,5.68,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.34,1,3,12.666666666666666,2,0.6667,2026,R
685126,Brandon Eisert,CWS,5.93,5.93,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.24,4,25,27.333333333333332,21,0.84,2026,L
702273,Noah Schultz,CWS,6.06,6.06,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.42,14,15,65.33333333333333,1,0.0667,2026,L
673929,Jordan Leasure,CWS,6.27,6.27,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.23,1,18,18.666666666666668,17,0.9444,2026,R
622491,Luis Castillo,CWS,6.45,6.45,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.66,5,5,22.333333333333332,0,0.0,2026,R
689818,David Sandlin,CWS,6.93,6.93,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.38,3,5,24.666666666666668,2,0.4,2026,R
681343,Shane Smith,CWS,10.8,10.8,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.52,3,3,8.333333333333334,0,0.0,2026,R
656457,Tyler Gilbert,CWS,17.18,17.18,LEGACY_ERA_NOT_REAL_XFIP,,,,,,3.00,1,4,3.6666666666666665,3,0.75,2026,L
675512,Troy Melton,DET,1.86,1.86,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.01,16,16,97.0,0,0.0,2026,R
621097,Jacob Waguespack,DET,2.59,2.59,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.89,1,24,31.333333333333332,23,0.9583,2026,R
663554,Casey Mize,DET,2.7,2.7,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.99,16,16,86.66666666666667,0,0.0,2026,R
669373,Tarik Skubal,DET,2.79,2.79,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.91,16,16,96.66666666666667,0,0.0,2026,L
663947,Tyler Holton,DET,3.03,3.03,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.28,3,58,62.333333333333336,55,0.9483,2026,L
572143,Burch Smith,DET,3.18,3.18,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.47,1,13,17.0,12,0.9231,2026,R
672456,Keider Montero,DET,3.3,3.3,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.00,21,27,133.66666666666666,6,0.2222,2026,R
680744,Ty Madden,DET,3.46,3.46,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.08,1,17,39.0,16,0.9412,2026,R
623454,Drew Anderson,DET,3.87,3.87,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.33,7,45,86.0,38,0.8444,2026,R
695549,Jackson Jobe,DET,3.93,3.93,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.42,4,4,18.333333333333332,0,0.0,2026,R
664285,Framber Valdez,DET,4.35,4.35,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.41,26,26,144.66666666666666,0,0.0,2026,L
656427,Jack Flaherty,DET,4.59,4.59,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.41,19,19,86.33333333333333,0,0.0,2026,R
669724,Brenan Hanifee,DET,5.06,5.06,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.45,2,23,21.333333333333332,21,0.913,2026,R
434378,Justin Verlander,DET,12.27,12.27,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.18,1,1,3.6666666666666665,0,0.0,2026,R
595345,Steven Okert,HOU,2.17,2.17,LEGACY_ERA_NOT_REAL_XFIP,,,,,,0.87,1,66,66.33333333333333,65,0.9848,2026,L
686613,Hunter Brown,HOU,3.33,3.33,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.30,15,15,81.0,0,0.0,2026,R
663567,Peter Lambert,HOU,3.66,3.66,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.23,23,23,128.0,0,0.0,2026,R
669713,Hayden Wesneski,HOU,3.86,3.86,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.19,6,6,32.666666666666664,0,0.0,2026,R
678906,Kai-Wei Teng,HOU,4.22,4.22,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.32,10,27,70.33333333333333,17,0.6296,2026,R
681293,Spencer Arrighetti,HOU,4.6,4.6,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.34,17,17,88.0,0,0.0,2026,R
687911,Bryan King,HOU,4.75,4.75,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.43,1,51,53.0,50,0.9804,2026,L
837227,Tatsuya Imai,HOU,5.32,5.32,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.46,15,18,67.66666666666667,3,0.1667,2026,R
675989,Cody Bolton,HOU,5.4,5.4,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.75,3,8,20.0,5,0.625,2026,R
681347,Mike Burrows,HOU,5.99,5.99,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.55,17,18,94.66666666666667,1,0.0556,2026,R
664299,Cristian Javier,HOU,6.47,6.47,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.66,8,12,40.333333333333336,4,0.3333,2026,R
621121,Lance McCullers Jr.,HOU,6.86,6.86,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.53,8,8,39.333333333333336,0,0.0,2026,R
680802,Ryan Weiss,HOU,7.62,7.62,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.12,2,9,26.0,7,0.7778,2026,R
669854,Ronel Blanco,HOU,7.71,7.71,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.46,4,5,23.333333333333332,1,0.2,2026,R
814490,Ethan Pecko,HOU,7.88,7.88,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.88,2,2,8.0,0,0.0,2026,R
669920,Jason Alexander,HOU,9.33,9.33,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.58,2,4,18.333333333333332,2,0.5,2026,R
676467,Colton Gordon,HOU,11.57,11.57,LEGACY_ERA_NOT_REAL_XFIP,,,,,,2.57,1,4,9.333333333333334,3,0.75,2026,L
677976,Randy Dobnak,KC,1.92,1.92,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.37,8,10,51.666666666666664,2,0.2,2026,R
663738,Daniel Lynch IV,KC,2.93,2.93,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.03,4,50,58.333333333333336,46,0.92,2026,L
608379,Michael Wacha,KC,3.32,3.32,LEGACY_ERA_NOT_REAL_XFIP,,,,,,1.10,27,27,170.66666666666666,0,0.0,2026,R
