GameID,Date,Team,PitcherID,PitcherName,IP,Pitches,BF,ER,H,BB,SO,HR,Source
718746,2023-04-01,CLE,661403,Emmanuel Clase,1.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718746,2023-04-01,CLE,675916,James Karinchak,1.0,24.0,5.0,0.0,1.0,1.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
718746,2023-04-01,SEA,642100,Gabe Speier,1.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718746,2023-04-01,SEA,650895,Diego Castillo,1.0,15.0,4.0,1.0,1.0,0.0,1.0,1.0,MLB_STATSAPI_GAME_FEED
718746,2023-04-01,SEA,670036,Matt Festa,1.0,22.0,5.0,0.0,0.0,2.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718749,2023-04-01,AZ,642121,Cole Sulser,2.0,27.0,7.0,1.0,1.0,0.0,2.0,1.0,MLB_STATSAPI_GAME_FEED
718749,2023-04-01,AZ,656464,Kevin Ginkel,1.0,20.0,6.0,3.0,2.0,1.0,1.0,1.0,MLB_STATSAPI_GAME_FEED
718749,2023-04-01,AZ,672841,Carlos Vargas,1.0,13.0,4.0,1.0,1.0,0.0,2.0,1.0,MLB_STATSAPI_GAME_FEED
718749,2023-04-01,LAD,656578,Andre Jackson,3.0,42.0,11.0,0.0,1.0,0.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718750,2023-04-01,COL,621389,Ty Blach,3.0,35.0,12.0,2.0,3.0,1.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718750,2023-04-01,COL,656234,Jake Bird,1.6666666666666665,22.0,6.0,0.0,1.0,0.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
718750,2023-04-01,COL,659275,Dinelson Lamet,1.0,30.0,7.0,2.0,1.0,3.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
718750,2023-04-01,SD,621051,Steven Wilson,1.0,13.0,3.0,0.0,0.0,0.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
718750,2023-04-01,SD,623352,Josh Hader,1.0,16.0,3.0,0.0,0.0,0.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
718750,2023-04-01,SD,657612,Tim Hill,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,KC,547973,Aroldis Chapman,1.0,13.0,3.0,0.0,0.0,0.0,3.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,KC,642232,Ryan Yarbrough,1.6666666666666665,12.0,5.0,0.0,0.0,0.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,KC,664199,Taylor Clarke,1.0,16.0,3.0,0.0,0.0,0.0,3.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,MIN,573204,Caleb Thielbar,1.0,18.0,4.0,0.0,1.0,0.0,3.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,MIN,605347,Jorge López,1.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,MIN,643377,Griffin Jax,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718751,2023-04-01,MIN,660896,Jorge Alcala,1.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,PHI,518886,Craig Kimbrel,0.3333333333333333,18.0,4.0,3.0,1.0,2.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,PHI,543281,Josh Harrison,0.6666666666666666,17.0,5.0,0.0,2.0,1.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,PHI,571479,Andrew Bellatti,1.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,PHI,621237,José Alvarado,1.0,18.0,4.0,0.0,1.0,0.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,PHI,622554,Seranthony Domínguez,0.0,27.0,6.0,4.0,3.0,1.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,PHI,628708,Yunior Marte,0.6666666666666666,29.0,5.0,2.0,2.0,1.0,2.0,1.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,TEX,621368,Taylor Hearn,1.0,17.0,4.0,0.0,0.0,1.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718752,2023-04-01,TEX,641540,Dane Dunning,3.0,35.0,11.0,0.0,3.0,0.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
718753,2023-04-01,ATL,489446,Kirby Yates,1.0,11.0,4.0,1.0,1.0,0.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
718753,2023-04-01,ATL,623433,Nick Anderson,1.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
718753,2023-04-01,ATL,641729,Joe Jiménez,1.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
