GameID,Date,Season,DayNight,Team,Side,PitcherID,PitcherName,IP,BF,Pitches,ER,H,BB,SO,HR,HBP,Source
634615,2021-04-01,2021,day,LAD,away,477132,Clayton Kershaw,5.666666666666667,28.0,77.0,5.0,10.0,1.0,2.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634615,2021-04-01,2021,day,COL,home,608566,Germán Márquez,4.0,21.0,92.0,1.0,6.0,6.0,2.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634618,2021-04-01,2021,day,AZ,away,518516,Madison Bumgarner,4.0,23.0,91.0,6.0,7.0,3.0,6.0,2.0,1.0,MLB_STATSAPI_GAME_FEED
634618,2021-04-01,2021,day,SD,home,506433,Yu Darvish,4.666666666666667,23.0,93.0,4.0,8.0,1.0,6.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
634622,2021-04-01,2021,day,ATL,away,608331,Max Fried,5.0,24.0,94.0,2.0,6.0,2.0,8.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
634622,2021-04-01,2021,day,PHI,home,605400,Aaron Nola,6.666666666666667,27.0,84.0,2.0,6.0,0.0,6.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634625,2021-04-01,2021,night,SF,away,592332,Kevin Gausman,6.666666666666667,24.0,90.0,1.0,2.0,2.0,6.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634625,2021-04-01,2021,night,SEA,home,594835,Marco Gonzales,6.0,27.0,99.0,5.0,8.0,3.0,2.0,3.0,0.0,MLB_STATSAPI_GAME_FEED
634630,2021-04-01,2021,day,TEX,away,502043,Kyle Gibson,0.3333333333333333,8.0,32.0,5.0,4.0,3.0,1.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634630,2021-04-01,2021,day,KC,home,641745,Brad Keller,1.3333333333333333,14.0,51.0,6.0,9.0,2.0,0.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634634,2021-04-01,2021,day,PIT,away,641771,Chad Kuhl,3.0,14.0,63.0,1.0,1.0,3.0,2.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634634,2021-04-01,2021,day,CHC,home,543294,Kyle Hendricks,3.0,16.0,63.0,3.0,4.0,3.0,4.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634636,2021-04-01,2021,day,STL,away,656427,Jack Flaherty,4.333333333333333,22.0,94.0,6.0,6.0,2.0,4.0,2.0,1.0,MLB_STATSAPI_GAME_FEED
634636,2021-04-01,2021,day,CIN,home,622491,Luis Castillo,3.3333333333333335,21.0,73.0,8.0,8.0,2.0,0.0,1.0,1.0,MLB_STATSAPI_GAME_FEED
634638,2021-04-01,2021,day,MIN,away,628317,Kenta Maeda,4.333333333333333,23.0,88.0,1.0,6.0,2.0,5.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
634638,2021-04-01,2021,day,MIL,home,605540,Brandon Woodruff,4.0,20.0,78.0,3.0,6.0,2.0,5.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634640,2021-04-01,2021,night,HOU,away,425844,Zack Greinke,6.0,19.0,82.0,0.0,3.0,0.0,4.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634640,2021-04-01,2021,night,OAK,home,605135,Chris Bassitt,5.333333333333333,22.0,68.0,3.0,4.0,2.0,3.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
634642,2021-04-01,2021,day,TOR,away,547943,Hyun Jin Ryu,5.333333333333333,21.0,92.0,2.0,4.0,1.0,5.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634642,2021-04-01,2021,day,NYY,home,543037,Gerrit Cole,5.333333333333333,23.0,97.0,2.0,5.0,2.0,8.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634645,2021-04-01,2021,day,CLE,away,669456,Shane Bieber,6.0,27.0,95.0,3.0,5.0,3.0,12.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634645,2021-04-01,2021,day,DET,home,571510,Matthew Boyd,5.666666666666667,24.0,92.0,0.0,3.0,4.0,2.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634652,2021-04-01,2021,day,TB,away,607192,Tyler Glasnow,6.0,19.0,77.0,0.0,1.0,0.0,6.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634652,2021-04-01,2021,day,MIA,home,645261,Sandy Alcantara,6.0,23.0,83.0,0.0,2.0,2.0,7.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
634655,2021-04-01,2021,night,CWS,away,608337,Lucas Giolito,5.333333333333333,20.0,87.0,2.0,2.0,2.0,8.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634655,2021-04-01,2021,night,LAA,home,605164,Dylan Bundy,6.0,25.0,88.0,3.0,6.0,1.0,6.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634576,2021-04-02,2021,night,AZ,away,518876,Merrill Kelly,4.0,18.0,94.0,3.0,5.0,3.0,4.0,1.0,0.0,MLB_STATSAPI_GAME_FEED
634576,2021-04-02,2021,night,SD,home,605483,Blake Snell,4.666666666666667,21.0,86.0,0.0,4.0,2.0,8.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634578,2021-04-02,2021,night,SF,away,456501,Johnny Cueto,5.666666666666667,24.0,105.0,3.0,6.0,3.0,7.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634578,2021-04-02,2021,night,SEA,home,579328,Yusei Kikuchi,6.0,25.0,89.0,3.0,6.0,1.0,10.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
634602,2021-04-02,2021,night,TB,away,642232,Ryan Yarbrough,5.666666666666667,20.0,65.0,0.0,4.0,0.0,3.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634602,2021-04-02,2021,night,MIA,home,641154,Pablo López,5.0,18.0,77.0,0.0,2.0,2.0,4.0,0.0,0.0,MLB_STATSAPI_GAME_FEED
634605,2021-04-02,2021,night,HOU,away,664299,Cristian Javier,3.6666666666666665,15.0,73.0,2.0,3.0,0.0,4.0,0.0,1.0,MLB_STATSAPI_GAME_FEED
634605,2021-04-02,2021,night,OAK,home,666200,Jesús Luzardo,5.0,24.0,92.0,5.0,8.0,1.0,8.0,2.0,0.0,MLB_STATSAPI_GAME_FEED
